wallet,deposit_volume,borrow_volume,repay_volume,redeem_volume,deposit_count,borrow_count,repay_count,redeem_count,liquidation_count,active_days,token_diversity,total_tx,credit_score,score_range
0x00202f8f6bb6f100241ce0726922f2bd4c7196ee,0.023783,0.0,0.0,0.0,1,0,0,0,0,0.0,1,1,305.2350459009786,"(300, 400]"
0x0020c5222a24e4a96b720c06b803fb8d34adc0af,0.0,0.0,0.0,2012030.94263,0,0,0,1,0,0.0,1,1,305.0,"(300, 400]"
0x0021be1d33a577bf5ede730a6b5d5d9f878ba7e4,1.144745,0.0,0.0,0.0,2,0,0,0,0,6.12,2,2,318.6502066419418,"(300, 400]"
0x00222d56e0509a5e9ab05c588c548290a5e9f876,0.00444,0.0,0.0,0.0,1,0,0,0,0,0.0,1,1,305.04430172279314,"(300, 400]"
0x002379916ac42a432f3b53f16782d33267debb4c,1.5,0.0,0.0,0.0,1,0,0,0,0,0.0,1,1,314.16290731874153,"(300, 400]"
0x0023aa0d5d1675d6ccbe0aff5d6afdd0bc61d2be,2.2,0.0,0.0,0.0,2,0,0,0,0,5.46,1,2,317.54150809805685,"(300, 400]"
0x0023d9ffe7d793895c5da5833d56c737832ead2b,14.997724,0.0,0.0,0.0,2,0,0,0,0,0.0,1,2,432.72446462121286,"(400, 500]"
0x0023e0f24acc95e838f76f81ab3d69e40b9b1933,4.999194,0.0,0.0,0.0,1,0,0,0,0,0.0,1,1,322.9162512687119,"(300, 400]"
0x0023f4cbb5d47ef377af97fc5c7399b62e31e0ff,0.012625,0.0,0.0,0.0,2,0,0,0,0,1.01,1,2,305.29379302501854,"(300, 400]"
0x0024461e7a8ce7157866eaa4c24b702d328250ce,0.0,0.0,0.0,1012.775168,0,0,0,1,0,0.0,1,1,305.0,"(300, 400]"
0x0024511a019f836ddd88902bb516b4f0b3a2dcf9,0.025,0.0,0.0,0.0,1,0,0,0,0,0.0,1,1,305.2469261259037,"(300, 400]"
0x00246f7813397868b1beec56e1677efa47816dae,3037.908154,2356.8,2359.30731,3038.879475,30,9,2,3,0,21.03,1,44,766.2507000352865,"(700, 800]"
0x0025a856d01a898bd52286d56c52323b13937b65,0.1,0.0,0.0,0.0,1,0,0,0,0,0.0,1,1,305.95310179804324,"(300, 400]"
0x00261d225db379b3fc74cd0228d6f90582d39035,0.0342,0.005,0.0,0.0,1,1,0,0,0,0.0,1,2,105.33628180979983,"(100, 200]"
0x00262ffcfda82b5582d1905ca05b849f196b0419,101.169192,57.074003,57.090279,101.180778,4,3,1,2,0,3.76,2,10,671.4662685395402,"(600, 700]"
0x0026bc865efa2fb74d18c3be5a77c780756e50e6,0.00045,0.0,0.0,0.0,1,0,0,0,0,0.0,1,1,305.00449898780363,"(300, 400]"
0x002729e3173b9fc6abcf03eb2d754b0e2ae4edbd,1.851978,0.0,0.0,0.0,1,0,0,0,0,0.0,1,1,315.48012788637305,"(300, 400]"
0x002761f50e9c9e98e4ca367ef215f3643eec9dd9,0.097,0.0,0.0,0.0,1,0,0,0,0,0.0,1,1,305.9257918129309,"(300, 400]"
0x002775390698ef16589bb22bba37ae7906ae2f36,93.030176,83.379145,18.379145,11.640428,17,7,5,1,0,20.26,5,30,704.5253453723881,"(700, 800]"
0x0027c6cd01364a3c5d29f72269b36dfe85628193,1.880888,0.0,0.0,0.0,1,0,0,0,0,0.0,1,1,315.58098579956237,"(300, 400]"
0x0027f7335d610f15b325baa5798414548720fcaa,4890.894624,1518.99297,1519.063995,4100.077779,6,2,2,3,0,1.35,2,13,841.708503859563,"(800, 900]"
0x00283b611db7844cb5677b311afd67c8e3078518,7.200645,0.0,0.0,0.0,1,0,0,0,0,0.0,1,1,326.04212809713374,"(300, 400]"
0x00296e3cb10f1ddf6be160aa9722d7a288957b66,0.0472,0.0,0.0,0.0,1,0,0,0,0,0.0,1,1,305.4611993561355,"(300, 400]"
0x0029ab135b5be72168bf80f140d60a9264dbd0c5,2.6,0.0,0.0,0.0,2,0,0,0,0,3.71,1,2,318.42767178795395,"(300, 400]"
0x002a63fb3bb81ccc222e2d8192eb95a5767a2151,1.107978,0.0,0.0,0.0,1,0,0,0,0,0.0,1,1,312.4572919419202,"(300, 400]"
0x002aea16059a7d4bef638a03b61a9e80ef07e745,1430.839075,674.535312,0.154069,12258.545684,12,10,5,14,0,82.66,6,41,669.3096954673143,"(600, 700]"
0x002bb13a55bf4525f02717708dd4534ecc475193,3.145177,0.0,0.0,0.0,2,0,0,0,0,0.0,1,2,319.21945489726215,"(300, 400]"
0x002c77a71d54e6da4b28690fe1676752a74a67eb,1.15122,0.0,0.0,0.0,1,0,0,0,0,0.0,1,1,312.6603512306578,"(300, 400]"
0x002cd2707daccbd5f3f192a565fca0a2cea021a6,6.133915,2.726309,2.726309,5.133916,2,1,1,1,0,18.02,2,5,558.9602990442008,"(500, 600]"
0x002d2715b179d0db3e17cc28317a98f2f65e6884,122913.981528,95391.389802,70088.182764,82995.578275,98,64,38,53,0,101.89,8,253,956.6996235417319,"(900, 1000]"
0x002d59b6a7b3483c8c1ef38c90cbe7790aeaea50,0.004675,0.0,0.0,0.0,1,0,0,0,0,0.0,1,1,305.04664106126876,"(300, 400]"
0x002dcc4d0ad0bdce1c444ad0bb4d51ac7e61d62b,15699.745741,4500.0,1380.602617,1503.137603,5,5,16,3,0,128.75,4,29,1000.0,"(900, 1000]"
0x002de04d579930686698abab5f48bda0b24fb9fc,17848.099626,42533.281825,42583.466718,8304.493344,32,13,15,25,0,80.34,7,85,974.8565955273775,"(900, 1000]"
0x002e5e69ae7c8999834ee24aeb5c26ad05433820,21457.0,2500.0,2500.0,21457.0,1,1,1,1,0,0.0,2,4,866.2274467695192,"(800, 900]"
0x002e7ea05d6721a04cd36ab5e9f2c72338d7f7f3,15.0,0.0,0.0,1754.183724,1,0,0,5,0,71.95,3,6,554.7175538890644,"(500, 600]"
0x002eba74e10ff40a1bc1cfa2b9684f9e28f8dea7,0.012183,0.0,0.0,0.0,1,0,0,0,0,0.0,1,1,305.1210938455702,"(300, 400]"
0x002f93d5a1ca66a2a64b490bd0a0291c1a1c02b6,4211.979679,3062.475811,2509.969106,2220.058504,61,26,12,9,0,105.2,6,108,833.7149149851587,"(800, 900]"
0x0030040e8d836ac3e546c354f9b373e70a14deeb,0.0,0.0,0.0,44842.195767,0,0,0,2,0,0.0,2,2,310.0,"(300, 400]"
0x00301da1d3b20fd6b8451a791a8b1a5e20599fb8,9647.929182,11100.0,0.0,0.0,35,23,0,0,0,40.67,6,58,428.5243555591337,"(400, 500]"
0x00305f0dc87d6bf12ac07e37ac0d2336d5906b93,0.006764,0.0,0.0,0.0,1,0,0,0,0,0.0,1,1,305.06741226786335,"(300, 400]"
